stamp_sec,stamp_nanosec,Wrist_x,Wrist_y,Wrist_z,Palm_x,Palm_y,Palm_z,ThumbMetacarpal_x,ThumbMetacarpal_y,ThumbMetacarpal_z,ThumbProximal_x,ThumbProximal_y,ThumbProximal_z,ThumbDistal_x,ThumbDistal_y,ThumbDistal_z,ThumbTip_x,ThumbTip_y,ThumbTip_z,IndexMetacarpal_x,IndexMetacarpal_y,IndexMetacarpal_z,IndexProximal_x,IndexProximal_y,IndexProximal_z,IndexIntermediate_x,IndexIntermediate_y,IndexIntermediate_z,IndexDistal_x,IndexDistal_y,IndexDistal_z,IndexTip_x,IndexTip_y,IndexTip_z,MiddleMetacarpal_x,MiddleMetacarpal_y,MiddleMetacarpal_z,MiddleProximal_x,MiddleProximal_y,MiddleProximal_z,MiddleIntermediate_x,MiddleIntermediate_y,MiddleIntermediate_z,MiddleDistal_x,MiddleDistal_y,MiddleDistal_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingMetacarpal_x,RingMetacarpal_y,RingMetacarpal_z,RingProximal_x,RingProximal_y,RingProximal_z,RingIntermediate_x,RingIntermediate_y,RingIntermediate_z,RingDistal_x,RingDistal_y,RingDistal_z,RingTip_x,RingTip_y,RingTip_z,LittleMetacarpal_x,LittleMetacarpal_y,LittleMetacarpal_z,LittleProximal_x,LittleProximal_y,LittleProximal_z,LittleIntermediate_x,LittleIntermediate_y,LittleIntermediate_z,LittleDistal_x,LittleDistal_y,LittleDistal_z,LittleTip_x,LittleTip_y,LittleTip_z
222,909759521,0.0,0.0,0.0,-0.0497037172317504,0.8343910574913025,-0.2291088104248047,-0.0693025887012481,0.8966443538665771,-0.2127569913864135,-0.0612829178571701,0.8608685731887817,-0.1882853657007217,-0.0698609426617622,0.8762329816818237,-0.159691572189331,-0.0833442285656929,0.8987858295440674,-0.1367277055978775,-0.0910794660449028,0.9112961888313292,-0.1159887611865997,-0.0598198287189006,0.8657088279724121,-0.200126826763153,-0.0713362693786621,0.9247860312461852,-0.1862575113773346,-0.078219749033451,0.9625220894813538,-0.1783475875854492,-0.0884928107261657,0.9844160676002502,-0.1716400980949401,-0.0975050926208496,1.005245327949524,-0.167229950428009,-0.063697874546051,0.8655158877372742,-0.2166580259799957,-0.0749073177576065,0.92777281999588,-0.2088559567928314,-0.0871847122907638,0.9702209234237672,-0.2053266912698745,-0.0991259887814521,0.9957846403121948,-0.2016857415437698,-0.1075700968503952,1.020114541053772,-0.1999974548816681,-0.0694115981459617,0.8682195544242859,-0.2350349128246307,-0.0840417072176933,0.921436071395874,-0.2272311747074127,-0.0921183377504348,0.9608629941940308,-0.2286150157451629,-0.1023231446743011,0.9862892031669616,-0.2270702421665191,-0.1108309179544448,1.0098730325698853,-0.2247713953256607,-0.0753842741250991,0.8672299981117249,-0.2417120784521103,-0.0945964828133583,0.9102316498756408,-0.2437232583761215,-0.0993878990411758,0.9407402276992798,-0.250979483127594,-0.1088198944926261,0.9593272805213928,-0.2533231973648071
222,909759521,0.0,0.0,0.0,-0.0500432848930358,0.8324887752532959,-0.2291646003723144,-0.0700072348117828,0.8946295976638794,-0.2127541452646255,-0.0617330595850944,0.8588991165161133,-0.1883038580417633,-0.0703616440296173,0.8742477893829346,-0.1597089320421219,-0.0839909166097641,0.8967639803886414,-0.1367846131324768,-0.0919421017169952,0.9093583822250366,-0.1161722913384437,-0.0603093281388282,0.8637475371360779,-0.2001488953828811,-0.0721490755677223,0.9227567315101624,-0.1862379163503646,-0.0791259407997131,0.9604780673980712,-0.1783006638288498,-0.0895695984363555,0.9822731018066406,-0.1715160012245178,-0.0988505780696868,1.0029656887054443,-0.1669969260692596,-0.0642197355628013,0.863534688949585,-0.2166766226291656,-0.0757947191596031,0.9257245659828186,-0.2088316679000854,-0.0884810462594032,0.968052864074707,-0.2051989287137985,-0.1008354946970939,0.993404746055603,-0.2014133781194687,-0.1097679808735847,1.017552375793457,-0.1995506286621093,-0.0699837952852249,0.8661991357803345,-0.2350385934114456,-0.084935262799263,0.9193313717842102,-0.227189302444458,-0.0934295803308487,0.9586833119392396,-0.2284355610609054,-0.1040257960557937,0.9839430451393129,-0.2267082333564758,-0.112945832312107,1.007359266281128,-0.2242116034030914,-0.0759675130248069,0.8651725053787231,-0.2417026907205581,-0.0954609587788581,0.9080601930618286,-0.2436607331037521,-0.1004876121878624,0.9385648965835572,-0.2508012056350708,-0.1101271957159042,0.957069218158722,-0.2529874444007873
222,909759521,0.0,0.0,0.0,-0.0509810745716095,0.8324511647224426,-0.2296513319015503,-0.0704481750726699,0.8944299221038818,-0.2120505422353744,-0.0602693371474742,0.859110414981842,-0.1881665885448455,-0.0676467567682266,0.8746204376220703,-0.1593513488769531,-0.0808925703167915,0.8972551822662354,-0.1363756656646728,-0.0885765999555587,0.9102147817611694,-0.1159224063158035,-0.0595477446913719,0.8638189435005188,-0.2001036703586578,-0.0705937668681144,0.9226418733596802,-0.1856248825788498,-0.0773006081581115,0.9603114128112792,-0.1774191409349441,-0.0876260250806808,0.9818654656410216,-0.1698303371667862,-0.0970852375030517,1.0022629499435425,-0.1645318865776062,-0.0647097751498222,0.863474428653717,-0.2162807881832122,-0.0761865898966789,0.925385355949402,-0.2078202962875366,-0.0893386006355285,0.96743506193161,-0.2032940536737442,-0.1027549058198928,0.9919452667236328,-0.1980776786804199,-0.1130945533514022,1.0153597593307495,-0.1949477195739746,-0.0717988833785057,0.8658090829849243,-0.2340153902769088,-0.0867560654878616,0.918737292289734,-0.2252711504697799,-0.0978201627731323,0.957418978214264,-0.2248967289924621,-0.1108515560626983,0.981204390525818,-0.2208780348300933,-0.1222311109304428,1.003130316734314,-0.2161314785480499,-0.0783066973090171,0.8646525740623474,-0.2401315122842788,-0.0984750464558601,0.9072127938270568,-0.2406952977180481,-0.1067880690097808,0.93736332654953,-0.2458415627479553,-0.1187010630965232,0.9545989632606506,-0.2454076707363128
222,909759521,0.0,0.0,0.0,-0.0814712345600128,0.8651013374328613,-0.2308062314987182,-0.0874956846237182,0.9286943674087524,-0.2085451483726501,-0.0757581368088722,0.8927056193351746,-0.1883568465709686,-0.0753060802817344,0.9093461036682128,-0.1592330783605575,-0.0865921378135681,0.9346266984939576,-0.138039082288742,-0.0949970707297325,0.9510038495063782,-0.120532602071762,-0.0772400274872779,0.8970768451690674,-0.2003006935119629,-0.0745979472994804,0.955968141555786,-0.1844019740819931,-0.0745735168457031,0.993858814239502,-0.1746241450309753,-0.0802420154213905,1.0155341625213623,-0.1633621454238891,-0.0860830247402191,1.03603994846344,-0.1544738709926605,-0.0874440819025039,0.8977109789848328,-0.2139801234006881,-0.0875472947955131,0.959677755832672,-0.2031101733446121,-0.0968812629580497,1.001401662826538,-0.1915498375892639,-0.1081993728876113,1.0241190195083618,-0.1787521243095398,-0.1180950924754142,1.045473337173462,-0.1682157069444656,-0.0989796295762062,0.9004648923873901,-0.2279679477214813,-0.1043348610401153,0.9544583559036256,-0.2154137790203094,-0.1143662333488464,0.9924624562263488,-0.2068179994821548,-0.1262145489454269,1.0133304595947266,-0.1935567259788513,-0.1367824077606201,1.0313416719436646,-0.1795321702957153,-0.1073425710201263,0.9000856280326843,-0.2312866300344467,-0.1219445019960403,0.9444661140441896,-0.2253188192844391,-0.1297280490398407,0.9750555753707886,-0.2224292159080505,-0.1398569047451019,0.990771472454071,-0.2129639834165573
222,909759521,0.0,0.0,0.0,-0.1501140892505645,0.9026169180870056,-0.2277653217315673,-0.1550524234771728,0.9691985845565796,-0.2129134982824325,-0.1403526365756988,0.9361506700515748,-0.1897031217813491,-0.1392964720726013,0.955220103263855,-0.1617389470338821,-0.1512552946805954,0.981792688369751,-0.1419975161552429,-0.1592590808868408,0.9990946054458618,-0.1248449012637138,-0.1430663615465164,0.93879634141922,-0.2020466476678848,-0.1392790526151657,0.9996798038482666,-0.1943274438381195,-0.1418271511793136,1.0382145643234253,-0.1860160827636718,-0.148256704211235,1.060004949569702,-0.1748532056808471,-0.1550174951553344,1.0805009603500366,-0.1660225987434387,-0.1551033556461334,0.9375748038291932,-0.2143801897764206,-0.1550014913082122,1.0008224248886108,-0.2114468067884445,-0.1699616611003875,1.0390150547027588,-0.1936550140380859,-0.183588758111,1.0569990873336792,-0.1759283244609832,-0.1960470676422119,1.073893904685974,-0.1605343222618103,-0.1682368814945221,0.9381951689720154,-0.2268909364938736,-0.1733777523040771,0.99381685256958,-0.2205272167921066,-0.1870681792497635,1.0298259258270264,-0.2076586484909057,-0.1996372938156128,1.04716157913208,-0.1901219487190246,-0.2103776484727859,1.0616458654403689,-0.1722422838211059,-0.1770541965961456,0.9372934699058532,-0.2289117872714996,-0.1920911967754364,0.9823361039161682,-0.2265052646398544,-0.200485959649086,1.0128840208053589,-0.2220169901847839,-0.2094132304191589,1.0282535552978516,-0.21054407954216
222,909759521,0.0,0.0,0.0,-0.1934649646282196,0.9256879687309264,-0.2147305011749267,-0.2010794878005981,0.9935948848724364,-0.205126404762268,-0.1814672797918319,0.9640238881111144,-0.1812799274921417,-0.180099219083786,0.9854124784469604,-0.1547731161117553,-0.1925674974918365,1.0123966932296753,-0.1354947686195373,-0.1995634138584137,1.0301445722579956,-0.1181046515703201,-0.1855945885181427,0.9650670886039734,-0.1935416162014007,-0.1841073483228683,1.026743769645691,-0.1924125403165817,-0.1914925873279571,1.0639495849609375,-0.1804807484149933,-0.2001129537820816,1.0822087526321411,-0.164938673377037,-0.2093780785799026,1.0990079641342163,-0.1514135897159576,-0.1994247287511825,0.9619369506835938,-0.203713446855545,-0.2027342468500137,1.0252528190612793,-0.2065393626689911,-0.2176761776208877,1.0635766983032229,-0.1882760524749755,-0.2299472391605377,1.0785272121429443,-0.1668243259191513,-0.2413569688796997,1.0904120206832886,-0.1464486122131347,-0.2138692140579223,0.9603127837181092,-0.2137601375579834,-0.2219691723585128,1.0162770748138428,-0.2115284353494644,-0.2370979040861129,1.050834059715271,-0.1957649737596511,-0.2477266043424606,1.064090609550476,-0.1736858338117599,-0.2556096315383911,1.0723439455032349,-0.1508139818906784,-0.222871795296669,0.9587019681930542,-0.2140706032514572,-0.2406608164310455,1.0031216144561768,-0.2129968255758285,-0.2539313435554504,1.030725121498108,-0.2030317336320877,-0.2623586654663086,1.041853904724121,-0.1869504451751709
222,909759521,0.0,0.0,0.0,-0.2331279218196869,0.9359090924263,-0.1965484619140625,-0.2376422733068466,1.0048344135284424,-0.1941525936126709,-0.2213361412286758,0.977156698703766,-0.1664160937070846,-0.2209808230400085,1.0016878843307495,-0.1427372395992279,-0.2329112738370895,1.0313456058502195,-0.1274390518665313,-0.2406462579965591,1.05145001411438,-0.1132019758224487,-0.2244189232587814,0.9769819974899292,-0.1790173500776291,-0.2190623581409454,1.0381546020507812,-0.184223785996437,-0.2334902137517929,1.0710337162017822,-0.1671109199523925,-0.2459229528903961,1.0723601579666138,-0.1449008733034134,-0.25730761885643,1.0667859315872192,-0.1251371204853058,-0.2379866391420364,0.9735137820243835,-0.1895033419132232,-0.2372979074716568,1.0361549854278564,-0.1988018602132797,-0.2545118927955627,1.070462346076965,-0.175278902053833,-0.2660150527954101,1.067160964012146,-0.148982360959053,-0.2727296352386474,1.0543814897537231,-0.1271059513092041,-0.2516719102859497,0.9714395403862,-0.199826955795288,-0.2568268477916717,1.027687668800354,-0.2035583853721618,-0.2730902433395386,1.0587841272354126,-0.1825587302446365,-0.2804585099220276,1.0562657117843628,-0.1558007597923278,-0.281081885099411,1.042896747589111,-0.1340149641036987,-0.2607363164424896,0.9702585935592652,-0.2003014683723449,-0.2761473655700683,1.0154017210006714,-0.2043714523315429,-0.2887803912162781,1.0422158241271973,-0.1917483359575271,-0.29313924908638,1.045299053192139,-0.171127438545227
222,909759521,0.0,0.0,0.0,-0.2603894174098968,0.9466618299484252,-0.179922342300415,-0.2867878675460815,1.010393738746643,-0.1796032041311264,-0.2536894381046295,0.9940903782844543,-0.1588500738143921,-0.2536013722419739,1.0214269161224363,-0.1385851800441742,-0.2694883644580841,1.0481412410736084,-0.1217061951756477,-0.2830964922904968,1.0653032064437866,-0.1081288903951644,-0.2606330215930938,0.9908090829849244,-0.1692740321159362,-0.2783573865890503,1.0488269329071045,-0.1793614476919174,-0.2962903976440429,1.0762137174606323,-0.1569088250398636,-0.290300577878952,1.061744213104248,-0.1368641257286071,-0.2796863317489624,1.04111909866333,-0.1335426717996597,-0.2749322056770324,0.9817390441894532,-0.1735426038503646,-0.2986435294151306,1.0390483140945437,-0.1856638193130493,-0.316142588853836,1.0679583549499512,-0.1560569256544113,-0.3068960309028625,1.0509647130966189,-0.1346765160560608,-0.2916232347488403,1.029765009880066,-0.1359247267246246,-0.2897102236747741,0.9739729166030884,-0.1776867061853408,-0.3144853413105011,1.0245529413223269,-0.1820965707302093,-0.3303417563438415,1.0503522157669067,-0.1547326743602752,-0.316742867231369,1.036437749862671,-0.1348583102226257,-0.299957275390625,1.0175493955612185,-0.1384088099002838,-0.2973926961421966,0.9701275825500488,-0.1745813935995102,-0.3274946808815002,1.0072309970855713,-0.1747817099094391,-0.3390710353851318,1.0283348560333252,-0.1534645855426788,-0.3267902433872223,1.023059964179993,-0.1369334757328033
222,909759521,0.0,0.0,0.0,-0.2894264459609985,0.9497055411338806,-0.1689198017120361,-0.3195744454860687,1.0117498636245728,-0.1736136823892593,-0.2883717715740204,0.9985563158988952,-0.1497156172990799,-0.2940717041492462,1.0271533727645874,-0.132224440574646,-0.3196399211883545,1.048863410949707,-0.1210885494947433,-0.3434182703495025,1.0567946434020996,-0.115194022655487,-0.2934794127941131,0.99429589509964,-0.1607946753501892,-0.3123279213905334,1.0505304336547852,-0.1763046085834503,-0.3305647075176239,1.0753685235977173,-0.151327297091484,-0.3202302753925323,1.057170867919922,-0.1369014680385589,-0.3085633814334869,1.040258765220642,-0.1481321305036544,-0.3071730434894562,0.9841799736022948,-0.1650644093751907,-0.3319758772850036,1.039319634437561,-0.1821629405021667,-0.3465461730957031,1.0605744123458862,-0.1454005241394043,-0.3313344419002533,1.0382155179977417,-0.1354587972164154,-0.3181866109371185,1.025247573852539,-0.1539568901062011,-0.3200540840625763,0.9755909442901612,-0.1691942512989044,-0.3471484780311584,1.0243680477142334,-0.1777655780315399,-0.3573564291000366,1.0424562692642212,-0.1426668465137481,-0.3390669226646423,1.023501992225647,-0.1338014304637909,-0.3272479772567749,1.0104494094848633,-0.1522432267665863,-0.3275929093360901,0.971611261367798,-0.1659303903579712,-0.3594290018081665,1.0070228576660156,-0.1693786531686782,-0.363827109336853,1.0230586528778076,-0.1418876647949218,-0.3470980823040008,1.0120272636413574,-0.134838655591011
222,909759521,0.0,0.0,0.0,-0.2965701222419739,0.9516165852546692,-0.1593843698501587,-0.3343327343463897,1.0088181495666504,-0.1680181920528412,-0.3024495244026184,1.0009719133377075,-0.1426045447587967,-0.3121792674064636,1.028961181640625,-0.125964343547821,-0.3426365256309509,1.044448733329773,-0.1170091032981872,-0.3674261569976806,1.037699818611145,-0.1185136511921882,-0.3066430389881134,0.9955770969390868,-0.153565302491188,-0.3322362005710602,1.0480306148529053,-0.1722385734319687,-0.3514769077301025,1.0660772323608398,-0.1426450163125991,-0.3372188210487366,1.047932267189026,-0.1320233196020126,-0.3250925838947296,1.0360589027404783,-0.1481369137763977,-0.318697452545166,0.9835670590400696,-0.1577883958816528,-0.3499679863452911,1.0340691804885864,-0.1782479882240295,-0.3654127120971679,1.0503393411636353,-0.1393881738185882,-0.3468095660209656,1.0302783250808716,-0.1304030418395996,-0.3322375416755676,1.019933581352234,-0.1494585275650024,-0.3302904367446899,0.9731314182281494,-0.1619298756122589,-0.3631942868232727,1.017428636550903,-0.1736946403980255,-0.3732061684131622,1.0317009687423706,-0.1368496119976043,-0.3525917530059814,1.015122890472412,-0.1283797323703766,-0.3390430212020874,1.003774642944336,-0.1467399299144745,-0.3373610973358154,0.9683214426040648,-0.1587512642145156,-0.3734046816825866,0.9989706873893738,-0.1649484932422638,-0.3768994212150574,1.0132750272750854,-0.1364126056432724,-0.3593773245811462,1.002803087234497,-0.1305763125419616
