stamp_sec,stamp_nanosec,shoulder_joint_position,shoulder_joint_velocity,shoulder_joint_effort,upper_arm_joint_position,upper_arm_joint_velocity,upper_arm_joint_effort,forearm_joint_position,forearm_joint_velocity,forearm_joint_effort,wrist_1_joint_position,wrist_1_joint_velocity,wrist_1_joint_effort,wrist_2_joint_position,wrist_2_joint_velocity,wrist_2_joint_effort,wrist_3_joint_position,wrist_3_joint_velocity,wrist_3_joint_effort
761,17028808,155.862548828125,,3.65251544280909e-05,146.7547149658203,,1.246333613380557e-05,-76.71306610107422,,2.5767980332602747e-05,130.4541015625,,-7.617577648488805e-05,-125.3223114013672,,-8.275209984276444e-05,-345.24493408203125,,-7.507971895392984e-05
761,17028808,155.88027954101562,,4.2552539525786415e-05,146.346435546875,,-0.0002383027749601,-76.25533294677734,,0.0003021583543159,130.73348999023438,,-1.3695562302018516e-05,-125.51426696777344,,-9.723849507281555e-05,-344.90850830078125,,4.956081465934403e-05
761,17028808,154.4861297607422,,-0.0008945665322244,144.75758361816406,,-0.0010202772682532,-74.75267791748047,,0.0009645860409364,130.12342834472656,,-0.0003917236172128,-124.74812316894533,,0.0004918028716929,-345.31658935546875,,-0.0002615232369862
761,17028808,149.49258422851562,,-0.0007104682154022,142.2227783203125,,-0.0002860540698748,-71.93413543701172,,0.0002940366975963,128.1636505126953,,-0.0001394582213833,-120.4394073486328,,0.0006560052279382,-347.3458251953125,,-0.0002942897845059
761,17028808,140.48382568359375,,-0.0053021176718175,140.93077087402344,,-0.0007605327991768,-69.98262786865234,,0.0011486021103337,127.38312530517578,,-0.0004589954332914,-112.25764465332033,,0.0048155686818063,-353.5177001953125,,-0.00363285606727
761,17028808,136.8701171875,,-0.0008743255748413,138.1493377685547,,-0.0009656997281126,-60.669090270996094,,0.0033644610084593,118.57488250732422,,-0.0038090492598712,-108.93214416503906,,0.000964278995525,-354.5751037597656,,0.0001830842957133
761,17028808,132.8272247314453,,-0.0016406807117164,136.09796142578125,,-0.0008324041846208,-52.23363494873047,,0.0034235119819641,107.9735107421875,,-0.0043025291524827,-103.8883819580078,,0.0020470034796744,-353.5079345703125,,0.0004331003292463
761,17028808,126.26976013183594,,-0.002264303388074,134.57286071777344,,-0.0002341563085792,-45.25444793701172,,0.0018861718708649,107.10235595703124,,-0.0002198929723817,-104.54896545410156,,3.0272426556621213e-06,-353.1513671875,,5.714617145713419e-05
761,17028808,124.29471588134766,,-0.0005878728115931,131.6907501220703,,-0.0008573579252697,-37.87020111083984,,0.0021970416419208,108.38322448730467,,0.0003810992056969,-106.5789031982422,,-0.000604000291787,-352.1931457519531,,0.000285100453766
761,17028808,123.81736755371094,,-0.0003157877654302,127.51287078857422,,-0.0013809200609102,-28.14153289794922,,0.0029444163665175,115.02467346191406,,0.0022490150295197,-109.78898620605467,,-0.0005554946837946,-345.9761962890625,,0.002001161687076
761,17028808,121.75093841552734,,-0.0018357035005465,127.85221099853516,,0.0003014006069861,-27.704490661621097,,0.0003881817683577,119.8971939086914,,0.0043277880176901,-110.52278137207033,,-0.0006522804033011,-344.1559143066406,,0.0016167721478268
761,17028808,120.2817611694336,,-0.0001207764871651,130.4112548828125,,0.0002864644920919,-31.649131774902344,,-0.0004752447421196,119.81488037109376,,-0.0001886685931822,-110.47633361816406,,9.443199814995752e-05,-344.1208801269531,,-2.501288145140279e-05
761,17028808,119.69446563720705,,-0.0003933990956284,132.8389892578125,,0.0016256251838058,-36.284934997558594,,-0.003103872295469,118.85183715820312,,-0.0006451277295127,-109.66691589355467,,0.0005419939989224,-345.0732727050781,,-0.0006381027633324
761,17028808,119.13156127929688,,-0.0001547968277009,135.69569396972656,,0.0009863566374406,-43.019798278808594,,-0.0024072027299553,117.33341979980467,,-0.0007089246064424,-107.65779113769533,,0.0008150582434609,-347.9306945800781,,-0.0012608090182766
761,17028808,121.1926040649414,,0.000813678256236,138.60708618164062,,0.001149384304881,-51.94725799560547,,-0.0035246626939624,113.38489532470705,,-0.0015586933586746,-106.08290100097656,,0.0006217483314685,-355.6515808105469,,-0.0030483568552881
761,17028808,126.42941284179688,,0.0013606555294245,138.4730224609375,,1.387000702379737e-05,-56.16454315185547,,-0.0009834293741732,114.97431182861328,,0.0003168286348227,-108.69352722167967,,-0.0004379274323582,-357.0837097167969,,-0.000431823922554
