stamp_sec,stamp_nanosec,shoulder_joint_position,shoulder_joint_velocity,shoulder_joint_effort,upper_arm_joint_position,upper_arm_joint_velocity,upper_arm_joint_effort,forearm_joint_position,forearm_joint_velocity,forearm_joint_effort,wrist_1_joint_position,wrist_1_joint_velocity,wrist_1_joint_effort,wrist_2_joint_position,wrist_2_joint_velocity,wrist_2_joint_effort,wrist_3_joint_position,wrist_3_joint_velocity,wrist_3_joint_effort
225,674484252,-174.3695068359375,,0.0001640883710933,102.09929656982422,,0.0001103670874726,-67.9489517211914,,-0.0002584838075563,117.71764373779295,,0.0003317160590086,147.19903564453125,,-0.0002612161624711,-22.198974609375,,0.0001456714526284
225,674484252,-173.720703125,,0.0004013324796687,102.54075622558594,,0.0002730727137532,-68.73651885986328,,-0.0004867094103246,119.42855072021484,,0.0010583056136965,145.23605346679688,,-0.0012146104127168,-21.475250244140625,,0.000447669182904
225,674484252,-173.47213745117188,,0.0002235066203866,102.68975067138672,,0.0001339737646048,-69.0956802368164,,-0.0003223133680876,120.46272277832033,,0.0009299182565882,144.283203125,,-0.0008568818448111,-20.5399169921875,,0.0008410425507463
225,674484252,-172.95913696289062,,0.0001688297634245,102.83323669433594,,4.7222340072039515e-05,-69.14322662353516,,-1.553697802592069e-05,120.48503875732422,,7.345897302002413e-06,141.89837646484375,,-0.0007849051035009,-19.83331298828125,,0.000232544975006
225,674484252,-172.536865234375,,0.000259052729234,102.90371704101562,,4.3238309444859624e-05,-69.29651641845703,,-9.439602581551298e-05,121.26016235351562,,0.0004755166592076,140.23886108398438,,-0.0010179753880947,-18.7879638671875,,0.0006412973743863
225,674484252,-172.4410400390625,,3.180279963999055e-05,102.90860748291016,,1.623008188289532e-06,-69.26383209228516,,1.08487674879143e-05,120.92719268798828,,-0.0001102557507692,140.57696533203125,,0.0001122051835409,-19.398712158203125,,-0.0002025224239332
225,674484252,-171.95223999023438,,0.0002940244739875,103.15638732910156,,0.0001490459835622,-69.30704498291016,,-2.6294739654986188e-05,119.99940490722656,,-0.0005585002363659,140.140380859375,,-0.0002629474038258,-21.184814453125,,-0.0010738770943135
225,674484252,-170.57180786132812,,0.0004213970096316,104.09185791015624,,0.0002855649217963,-70.58228302001953,,-0.0003891127416864,120.5860595703125,,0.0001790855894796,136.98036193847656,,-0.000964508508332,-21.340301513671875,,-4.7504843678325415e-05
225,674484252,-170.14111328125,,0.0002817513013724,104.436767578125,,0.000225638737902,-71.1402359008789,,-0.0003648968413472,121.08675384521484,,0.0003275510389357,136.40846252441406,,-0.00037404790055,-20.990966796875,,0.0002285330556333
225,674484252,-169.9677734375,,0.0001160513929789,104.71125030517578,,0.000183752621524,-71.52497100830078,,-0.0002575261751189,121.50971221923828,,0.0002831507881637,136.0885009765625,,-0.0002142149605788,-20.711822509765625,,0.0001868756662588
